year_month_day,count
2013-10-18,526590
2013-10-19,549186
2013-10-20,473864
2013-10-21,435562
2013-10-22,466786
2013-10-23,495387
2013-10-24,513937
2013-10-25,530999
2013-10-26,536130
2013-10-27,468421
2013-10-28,432200
2013-10-29,463945
2013-10-30,481728
2013-10-31,489417
2013-11-01,555745
2013-11-02,550253
2013-11-03,482847
2013-11-04,448323
2013-11-05,467510
2013-11-06,483207
2013-11-07,508154
2013-11-08,528447
2013-11-09,545002
2013-11-10,473151
2013-11-11,417822
2013-11-12,473987
2013-11-13,492095
2013-11-14,506377
2013-11-15,514297
2013-11-16,538546
2013-11-17,464838
2013-11-18,425004
2013-11-19,475478
2013-11-20,493407
2013-11-21,497944
2013-11-22,524547
2013-11-23,553845
2013-11-24,498122
2013-11-25,445802
2013-11-26,438122
